,Leave or Remain or Neutral/News,description,screen_name,name,location,text,allies
32,R,"Editor, BBC News Mobile and Online. Previously Editor, Radio 4's @bbcworldatone (#wato) and The World This Weekend (#tw2). #tomorrowspaperstoday",suttonnick,Nick Sutton,,"Wednesday's Daily Mirror front page:
vote remain tomorrow 
#tomorrowspaperstoday #bbcpapers #euref https://t.co/KijmQy7Z4x",['BBCNews']
33,N,"Stories direct from the @SkyNews newsroom. Tweet us your queries and questions. For breaking news, follow @SkyNewsBreak.",SkyNews,Sky News,"London, UK",Not sure how to vote in the #EUref? Here's what the rival campaigns are saying about security https://t.co/gxRkP4akxq,[]
34,R,Prime Minister and Leader of the @Conservatives,David_Cameron,David Cameron,UK,.@RuthDavidsonMSP and the team made the case to #VoteRemain with real passion. Leave had no plan and are asking us to leap in the dark.,[]
35,R,"author, playwright, Southside of Chicago sistuh and Londoner, too. Politics, the rights of the other, cusine, music, the arts...and I love Robin Hood.",Bonn1eGreer,Bonnie Greer,London UK and beyond.,"High-street banks stockpiling cash for Fri: orders of financial regulator @FT
#Remain sane
https://t.co/7z7agQXEIm
https://t.co/yf9FcNmcTR","['paulconnew1', 'iratesheep', 'maiantra', 'benllewelyn', 'Another_Europe', 'SaveOurBBC_CIC', 'Jon_Date', 'HexAndBugs', 'SuzanneAnderegg', 'jk_rowling', 'michellegayle1']"
36,N,The first word in business news.,business,Bloomberg,New York and the World,Bookies and gamblers think the U.K. will opt to remain in the EU https://t.co/eFLw0TerVi #Brexit https://t.co/fGqsNY7wwM,[]
37,R,The progressive 'In' campaign against a British exit from the EU and for a social Europe Add #VoteIn to your profile: http://tinyurl.com/z2ce6mp,Another_Europe,Another Europe,UK,"We are delighted Frances O'Grady will put the trade union case for Europe in major BBC debate tonight, 8pm #EUref https://t.co/vk9ZQkWgeC","['sam_parham', 'academicsforeu', 'ZoeJardiniere', 'davidschoibl', 'HumzaYousaf']"
38,R,The Official Twitter page for Victoria Beckham,victoriabeckham,Victoria Beckham,London,"#remain ðŸ‡¬ðŸ‡§
https://t.co/Wif5nZZU8k",[]
39,R,"A B'stard who hates the lies and deception of politicians who these days, many are just in it for themselves. http://t.co/qlbKcra4Jf

http://t.co/1VNLiSmQDS",liarpoliticians,liarpoliticians,Planet Earth.,"No @SadiqKhan UK is 5th biggest economy due to City of London fraud, they launder for drug cartels etc.  #BBCDebate #Brexit #EURef","['JuliaHB1', 'romford_stu', 'VentYerSpleen', 'Holbornlolz']"
40,L,UKIP Parliamentary spokesperson. Board member of @vote_leave. Founder @LipoedemaUK. Debrett's 500 2016. Petition: http://tinyurl.com/hoksol7,SuzanneEvans1,Suzanne Evans,Wimbledon & Shrewsbury ,Soros? Why's he worried? Wouldn't he just cash in? #BlackWednesday https://t.co/gh0ecB9FFn,"['Vote_LeaveMedia', 'simplysimontfa', 'LouiseMensch', 'beleaveuk', 'LondonLeave', 'BBCr4today', 'HenrySmithMP', 'RichardHilton1', 'DavidAGunn1', 'PoliticsSense', 'Barronak', 'vote_leave', 'RichardKing633', 'oflynnmep', 'gupta_james', 'MitchellGoldie', 'forbritain', 'CllrGurjitBains', 'lawyers4britain', 'WhiteWednesday', 'Swan1305', 'BradleyRAyres', 'MartinDaubney', 'NadineDorriesMP', 'Mike_Fabricant', 'KeechA13', 'VoteLeaveUKIP', 'ThomasEvansGB', 'WomenforBritain', 'FNTBD', 'MatthewSephton', 'josephineleigh', 'Australiaunwra6', 'Markit_tweet', 'JamesKnightTV', 'anna_firth', 'Brett_Rickles', 'emma_brining']"
41,L,"Doglover,philosopher,monarchist&Tory.Blocked by Nicholas Soames,Rob HalfonMP,Owen Jones,Mo Ansar,Diane Abbott,George Galloway&Jeremy Corbyn, RTs not endorsement",bernerlap,Ann Sheridan,up a hill,#VoteLeave show your confidence in Britain https://t.co/qepdjXQcWi,"['magicalmousal', 'tj1969t', 'obviousreally', 'vote_leave', 'labourleave', 'banksthomasw', 'BBCPropaganda', 'Trev_Forrester', 'itvwestcountry', 'IanAxton', 'Nitram_MT', 'Fight4UK', 'theordinaryman2', 'jesuisturnip', 'A_Liberty_Rebel', 'PrescottBeth', 'jfbargh', 'solas56', 'jamescurtis8153', 'JorgenFaxholm', 'chrisaylett', 'qiauto', 'MarcherLord1', 'GrahamGtk1954', 'AndiNeglia', 'bernerlap', 'ilovepiesme', 'DrTeckKhong', 'JohnRentoul', 'LouiseMensch', 'JuliaHB1', 'VoteLeaveCymru', 'WhiteWednesday', 'LeaveEUOfficial', 'Tom_Slater_', 'raktimborpatra', 'cmackinlay', 'CharlesCrawford', 'DuncanHStephen', 'raggidman', 'Para_glider69', 'dobbs_michael', 'DominicFarrell', 'Vote_LeaveMedia', 'Stop_The_EU', 'Piekos', 'Stronger_ln', 'EuroGuido', 'Michael_Heaver', 'ianross6', 'Mike_Fabricant', 'Mix_Master_Mao', 'KirianSev', 'SeanLyness1', 'VoteLeaveUKIP', 'Ryan_WoodUK', 'DorianBurt', 'HeatherWheeler', 'mrDesStewart', 'ruminantsheep', 'pietercleppe', 'Nick_1683', 'MartinDaubney', 'SteveBakerHW', 'BrexitInJune', 'TheaDickinson', 'JamesDuddridge', 'tomchapman16', 'TellRanil', 'bernardjenkin', 'jasminancona', 'lawyers4britain', 'uniforbritain', 'GuidoFawkes', 'beleaveuk', 'conorburns_mp', 'geraldhowarth', 'DVATW', 'MediaGuido', 'SuzanneEvans1', 'exsacerdotal', 'NadineDorriesMP', 'Kat33e', 'Lizads3', 'Queen_UK', 'holland_tom', 'christevens', 'Cricket4Britain']"
42,N,"We’re Reality Check from BBC News, back to cut through the spin and concentrate on the facts ahead of the EU Referendum.",BBCRealityCheck,BBC Reality Check,London,.@FrancesOGrady says wages will be hit by Â£38 a week. Precise figures uncertain https://t.co/sSB0mjkf2A #BBCDebate #EUref,[]
