,,description,screen_name,name,location,created_at,retweeted_count,profile_image_url,text,allies
222,L,"Fleet Street hack and author. Often sarcastic, occasionally right. Fox (n) carnivore of genus vulpes; crafty person; scavenger; (vb) to confuse; to be drunk",fleetstreetfox,fleetstreetfox,"Fleet Street, of course",Mon Oct 26 17:36:18 +0000 2009,244,http://pbs.twimg.com/profile_images/684874064456986625/zTK0Y3t4_normal.jpg,#VoteLeave on Thursday and you hand Britain to a right wing Tory elite: https://t.co/wMdI7ue48v,"['DickGraceless', 'JonnyGeller', 'henrypage']"
223,L,"Engineering Student, NRA Certified Instructor, Southerner. IG https://www.instagram.com/williamba3/",Oil_Guns_Merica,Will,"Montana, North Carolina",Mon Sep 21 18:53:00 +0000 2015,242,http://pbs.twimg.com/profile_images/725201519428014080/_M_EQDCC_normal.jpg,,['douglasernst']
224,R,"Free. Fair. Fearless. Fully independent media outlet bringing a fresh take on News and Politics, Science and Tech, Health & Wellness.",TheCanarySays,The Canary,United Kingdom,Thu Aug 13 11:44:17 +0000 2015,241,http://pbs.twimg.com/profile_images/637635681968357377/_sGzfrLH_normal.png,BREAKING: Whistleblowers come forward with explosive allegations about the EU Referendum https://t.co/JSRofEbXcV…#euref #brexit #Remain,"['Gian_TCatt', 'kevinjgsmith', 'bcomininvisible', 'JamieKelseyFry']"
225,R,@theSNP MSP for Glasgow Pollok. Scottish Govt Minister for Transport & the Islands. Hailing from bhangra & bagpipes tradition. Believes in a fairer Scotland,HumzaYousaf,Humza Yousaf,,Thu Mar 12 23:35:19 +0000 2009,240,http://pbs.twimg.com/profile_images/730110716590465024/s-qCMP8g_normal.jpg,YouGov poll puts Leave ahead across UK but Scottish sample shows Remain ahead 67% Vs 33% Leave - Scotland can make the difference #EUref,"['NicolaSturgeon', 'MumsnetTowers', 'RichardLochhead']"
226,N,Full Fact is the UK's independent factchecking organisation. Sign up to our mailing list: http://bit.ly/23m5Tpc,FullFact,Full Fact,London,Thu Oct 08 14:38:41 +0000 2009,240,http://pbs.twimg.com/profile_images/535826970932559872/K9LxWtuG_normal.jpeg,Join our mailing list for the facts and factchecking around the EU referendum https://t.co/eHCVkRhrED #BBCDebate #EUref,['Okeating']
227,L,Vote Leave Wales - campaign for a 'leave' vote in EU referendum. End supremacy of EU law. Take control. Invest in NHS & science. The safer choice.,VoteLeaveCymru,Vote Leave Wales,"Wales, United Kingdom",Sat Feb 20 08:47:37 +0000 2016,239,http://pbs.twimg.com/profile_images/724613007523909633/robejYXL_normal.jpg,"@BorisJohnson ""We can't cut energy bills to protect industry like in Port Talbot because the EU simply won't let us"" #VoteLeave","['AubelFelix', 'SaraMonk86', 'Vote_LeaveMedia', 'labourleave', 'LeaveEUOfficial', 'AndrewRTDavies', 'WalesPolitics', 'ArcadianRevelry', 'montie', 'DarrenMillarAM', 'DavidTCDavies', 'BrexitInJune', 'Mike_Fabricant', 'ChloeVotesLeave', 'LeeVoteLeave', 'RobertWinfield2', 'geraldhowarth', 'sarahjanesewell', 'VoteLeaveUKIP', 'TheaDickinson', 'vote_leave', 'cmackinlay', 'GouldSam']"
228,N,Bienvenue sur le compte officiel des rédactions du Monde | Piloté par @vengeurmask @martelclem @iiiiide et @marieslavicek | Suivez-nous sur Snapchat : lemondefr,lemondefr,Le Monde,Paris,Mon Mar 16 18:44:51 +0000 2009,238,http://pbs.twimg.com/profile_images/671239734904102912/i9lRddT8_normal.jpg,"Boris Johnson, le bulldozer du Â« #Brexit Â» https://t.co/avcIDErIi2 par @canalbernard #abonnÃ©s","['LM_enCartes', 'lemondelive', 'pierrebrt', 'martelclem']"
229,L,"Straight talking, straight forward. @theblairdoc @rt_sputnik @talkradio @comment_presstv @kalimalondon",georgegalloway,George Galloway,London ,Fri Jul 18 18:08:10 +0000 2008,238,http://pbs.twimg.com/profile_images/702884436900237312/YwbveQBq_normal.jpg,,"['brianhallx', 'Andy_T_', 'Whodiddy1', 'bluedog7640', 'McGTed', 'minefornothing', 'glopol_analysis', 'JohnRob33011789', 'Horrorhiker', 'heckmotor97', 'verafilatova', 'justmebeingme4', 'JonBergdahl', 'sultie1andonly', 'nesakelmendi', 'bobpet101']"
230,R,"Professor in Economics of Innovation, SPRU Sussex Univ. Author 'The Entrepreneurial State: debunking public vs. private sector myths'. 4 kids keep me laughing",MazzucatoM,Mariana Mazzucato,London,Wed Oct 19 14:22:53 +0000 2011,237,http://pbs.twimg.com/profile_images/530759752188317697/_CoTjbUf_normal.png,"Our @Telegraph letter today, by many economists, on why #Brexit makes no econ sense includes 12 Nobel Prize winners https://t.co/pWc3RLT3Bn",[]
231,L,❤️❤#CommonWealth❤#Queens90thBirthday❤#WISE❤#UK=OK! ❤️❤#Wales❤#Ireland❤#Scotland❤#England❤#WorldPeace❤#RMT  ❤️❤#SaveTheNHS❤#StopTheWar❤#VoteLeave❤@RoyalNavyNews,RoyalNavyNews,❤️VOTE❤️for❤HEROES❤,VOTE LEAVE to save the NHS,Sat Apr 04 11:45:02 +0000 2009,234,http://pbs.twimg.com/profile_images/743783816125251584/Rrx5advy_normal.jpg,"ðŸ‡¬ðŸ‡§#UK
ðŸ‡¬ðŸ‡§#NHS
ðŸ‡¬ðŸ‡§#LOVE
ðŸ‡¬ðŸ‡§#PEACE
ðŸ‡¬ðŸ‡§#BREXIT
ðŸ‡¬ðŸ‡§RMT #UNITED
ðŸ‡¬ðŸ‡§#SouthernStrike
ðŸ‡¬ðŸ‡§#BritishRailways
ðŸ‡¬ðŸ‡§https://t.co/kik3T74LuH https://t.co/F4t3nHBdBi",[]
232,R,"Curated News & Blogs about #UKIP, the #FarRight & forthcoming EU Referendum. #Political comments, debates & discussions #EUref #StrongerIN #EU #EqualityForAll",UKIPNFKN,UKIP Nonsense,United Kingdom,Tue May 05 07:46:32 +0000 2015,232,http://pbs.twimg.com/profile_images/715820693196259328/VpNfjqMe_normal.jpg,"If you’re worried about extra-EU migration, vote #Remain

#StrongerIN #VoteIN #EUref #LabourIN #Brexit

https://t.co/1dEb9JeFNf","['devo_uk', 'MSmithsonPB', 'NCPoliticsEU', 'CharlesTannock', 'uktostayeu', 'waynemoore4e', 'LDINtogether', 'ks_1968', 'trevdick', 'madasbof1']"
233,L,Tax Specialist. Beckettian. Windmiller.,JolyonMaugham,Jo Maugham QC,London,Mon Nov 07 08:23:01 +0000 2011,232,http://pbs.twimg.com/profile_images/683995967062937600/b3wNy2g8_normal.jpg,The tax identification number is to combat tax avoidance. No wonder the wealthy funders of @vote_leave hate it. https://t.co/iFzkVSVm5P,"['tompeck', 'rbrharrison', 'JolyonMaugham', 'TonysAngle']"
234,N,Everyone has a story worth hearing. Want breaking news alerts? @AJENews,AJEnglish,Al Jazeera English,"Doha, Qatar",Tue Apr 17 08:23:08 +0000 2007,231,http://pbs.twimg.com/profile_images/722779070262591489/TPsTrO7f_normal.jpg,What you need to know about #Brexit and the #EURef https://t.co/3l4OXv5IAe https://t.co/aNIBxHNaEM,[]
235,L,"Member of Parliament for Bournemouth West, Alderney 

and Branksome East. Policy and casework email only.",conorburns_mp,Conor Burns,Bournemouth West,Mon Oct 10 12:55:58 +0000 2011,230,http://pbs.twimg.com/profile_images/580072029937901568/phEi14bN_normal.jpg,And the crowd roars! #VoteLeave #bbcdebate #Bexit,"['SUBUBournemouth', 'SUBUWelfare', 'vote_leave']"
236,R,"A collective of friends, artists, campaigners, creatives, and doers who want a positive future in Europe. What are you #infor?",weareeuropeuk,We Are Europe,United Kingdom,Fri Apr 08 16:02:14 +0000 2016,230,http://pbs.twimg.com/profile_images/722203107120254977/sje4vWmI_normal.jpg,"Oooh, we LOVE @SadiqKhan's speech there. 
1. Immigrants... THANK YOU. 
2. #VoteLeave = project hate. #BBCDebate https://t.co/mFsZiLdfVl","['CarolineLucas', 'SamConniff', 'EmWatson', 'SamSwainsbury', 'SarahFerrari', 'LaurenRazavi', 'bethanjharris', 'sarah_holloway', 'dominiccoop', 'saltsea', 'LibDems', 'uktostayeu', 'TPashby']"
237,L,Business for Britain is the cross-party business campaign for Britain to #VoteLeave on 23 June.,forbritain,Business for Britain,United Kingdom,Tue Nov 27 13:34:16 +0000 2012,228,http://pbs.twimg.com/profile_images/499239201452208130/yyAcYlQl_normal.jpeg,@BorisJohnson #IndependenceDay amazing stirring speech let's #VoteLeave #TakeBackControl #BBCDebate,"['TheCity4Britain', 'vote_leave', 'davidroachcouk', 'murrisonMP', 'SteveBakerHW', 'Vote_LeaveMedia', 'Aussies4Britain', 'LiamFoxMP', 'beleaveuk', 'consforbritain', 'j30moo', 'bernardjenkin', 'uniforbritain', 'christopherhope']"
238,L,"Small-state, low-tax, free-markets minarchist-libertarian, per Hayek, Friedman & Nozick.
Anti all Leftism: economic, cultural, Green, Islamist or Eurofederalist",A_Liberty_Rebel,((LibertarianRebel)),"Michael St George, Southern UK",Wed Jan 26 23:19:18 +0000 2011,225,http://pbs.twimg.com/profile_images/640848571797913600/43tIV_PJ_normal.png,"Not questioning @YenaskunkwolfDF, but anyone else got something on a possible Labour plant in #EUdebate audience?   https://t.co/2oQbExYfIb","['DrTeckKhong', 'WhiteWednesday', 'liarpoliticians', 'BBCPropaganda', 'SuzanneEvans1', 'V_of_Europe']"
239,N,"Copywriter, but mostly arty.",TeaAndCopy,Marty Lawrence,,Mon May 18 14:12:30 +0000 2009,225,http://pbs.twimg.com/profile_images/683771580174958593/ver5LGu__normal.jpg,"David Beckham has revealed he will vote Remain in the #Euref. To be fair, if anyone is going to put the perfect cross in the box, it's him.","['TeaAndCopy', 'Favstar_Bot']"
240,N,Two pioneers flying around the world with a solar airplane to promote clean technologies #futureisclean ! @bertrandpiccard @andreborschberg,solarimpulse,SOLAR IMPULSE,Atlantic Ocean ,Mon Jun 29 17:48:51 +0000 2009,224,http://pbs.twimg.com/profile_images/672545843954651136/ZdFKS0bj_normal.jpg,"#Europe,are you ready to welcome back home #Si2,the only solar plane airborne over the Atlantic Ocean?#futureisclean https://t.co/22EfmsSjmC",[]
241,L,The most fabulous supervillain on the internet. READ http://goo.gl/9F8vC6 HEAR @TheMiloShow BUY @swagbymilo SEE http://goo.gl/51Dgbi ❤️ @PizzaPartyBen @CoryFind,Nero,Milo Yiannopoulos ✘,"Los Angeles, CA",Sat May 19 14:09:37 +0000 2007,221,http://pbs.twimg.com/profile_images/730547702421823489/ZsLBU0Oz_normal.jpg,,"['sarahjanesewell', 'Nero']"
242,L,Co-editor of The Conservative Woman (@TheConWom). Former barrister.,LPerrins,Laura Perrins,London,Sun Dec 19 19:50:55 +0000 2010,221,http://pbs.twimg.com/profile_images/443141575099445248/nW3Xf-Y__normal.jpeg,The democratic deficit is unanswerable by Remain. #VoteLeave #BBCDebate,"['vote_leave', 'matthew_elliott', 'GrumpyBearz', 'WomenforBritain', 'Ha_bi_ba', 'NadineDorriesMP', 'timloughton', 'jamieamartin1', 'ChloeVotesLeave', 'TellRanil', 'BBCNews', 'toadmeister']"
243,R,#INtogether is the fastest growing grassroots and community led campaign fighting to keep the UK a thriving and leading member of Europe. Supporting #StrongerIN,LDINtogether,Team #INtogether,,Tue Jan 05 14:48:24 +0000 2016,220,http://pbs.twimg.com/profile_images/695259743720493056/uFF6-JNt_normal.jpg,".@IngaBeale knows British business is better in Europe, vote remain this Thursday! #INtogether #EUref https://t.co/xrQxRUcloc","['portsmouthld', 'LibDems', 'scotlibdems', 'timfarron', 'richardbranson', 'GregMulholland1', 'medwaypaul', 'SCLibDems', 'chambe17', 'LibDemInternat', 'DrKirstenJ', '_nataliew_', 'Fleur_zegt', 'euromove', 'PenPendragon', 'eatsleeplaugh', 'nick_clegg', 'mehdirhasan', 'trevdick', '38_degrees', 'RolandRudd', 'GoodallGiles', 'dkeene', 'timeshighered', 'JamieLibDem', 'HertsSUGrainne', 'JamesMcGrory', 'AudreyEager', 'LorraineJohnson', 'billiepiper', 'AdamPritchard82', 'tobyparkin', 'IrelandEmbGB', 'andyetc']"
244,L,London's future is safer and brighter outside the EU. Vote Leave on 23rd June.,LondonLeave,London Leave,"London, England",Tue Mar 01 22:34:08 +0000 2016,220,http://pbs.twimg.com/profile_images/705473250168610821/2EJ0g-aV_normal.jpg,London's housing and public services can only be made sustainable by #brexit #BBCDebate https://t.co/V0Jm80vXBV,['LondonLeave']
245,L,"【WSJ日本版】 http://jp.wsj.com/【LINE】 http://bitly.com/LINEWSJ
【Facebook】 https://www.facebook.com/japanwsj",WSJJapan,ウォール・ストリート・ジャーナル日本版,東京,Mon Jun 22 06:43:35 +0000 2009,218,http://pbs.twimg.com/profile_images/533079575547228163/ruFUeUOf_normal.png,"åŽŸæ²¹ä¾¡æ ¼ã�¯é ­æ‰“ã�¡ã�‹ã€�è‹±EUé›¢è„±ã�®æœ‰ç„¡ã�«ã�‹ã�‹ã‚�ã‚‰ã�š https://t.co/JzcO3e7esR
äºˆæœŸã�›ã�¬ä¾›çµ¦éšœå®³ã�Œç™ºç”Ÿã�—ã�Ÿã‚Šã€�ä¸–ç•Œå�„å›½ã�®çµŒæ¸ˆæˆ�é•·ã�Œæ€¥åŠ é€Ÿã�—ã�Ÿã‚Šã�—ã�ªã�„é™�ã‚Šã€�åŽŸæ²¹ä¾¡æ ¼ã�®ä¸Šæ˜‡ã�Œç¶šã��ã�®ã�¯ã�‹ã�ªã‚Šå…ˆã�®è©±ã� ã‚�ã�† #EUé›¢è„± https://t.co/gGZftLLJuG",[]
246,R,Conservative MP for Arundel & South Downs,nickherbertmp,Nick Herbert,London and Arundel,Wed Feb 03 14:31:37 +0000 2010,216,http://pbs.twimg.com/profile_images/737706924385259522/eb2qq61D_normal.jpg,No answer from Leave to embarrassment that their own economist says Brexit would mean UK manufacturing eliminated  #BBCDebate #StrongerIn,"['daily_politics', 'Mountainin2015', 'ConservativesIN', 'AlisonEBennett']"
247,L,"What is Britain's destiny? Explore Britain's place in Europe, and in the world. What is the UK's relationship with the EU? Do we need political amalgamation?",OpenBritain,Open Britain,Global,Thu May 12 12:28:13 +0000 2016,216,http://pbs.twimg.com/profile_images/744851762776006656/ShR6Dgk1_normal.jpg,"@simplysimontfa We must ask Corbyn this: 

#EURef #Brexit https://t.co/lxlOIEw3b6","['MrRBourne', 'BeverleyTruth', 'Tom_Slater_', 'adamhamdy', 'oflynnmep', 'EurofileBrexit', 'theordinaryman2', 'DVATW', 'MaggieLavan', 'ScotsVoteLeave', 'NoThankEU2016', 'SteveHiltonx', '_tonycloud_', 'EUNoticeFacts', 'PeteNorth303', 'BBCPropaganda', 'wisermonkeys', 'SJ_Powell', 'Fight4UK', 'OutandProudUK', 'terrylawes']"
248,L,Here for the referendum.,EuroGuido,Euro Guido,"In Europe, not run by EU",Thu Oct 08 12:39:19 +0000 2015,215,http://pbs.twimg.com/profile_images/654218502052675584/Mx1ZmXbW_normal.png,Said nobody not on the payroll. https://t.co/Fm6nf2fUxZ,"['LouiseMensch', 'JoeWatts_', 'TellRanil', 'MediaGuido', 'TheSun']"
249,R,"Historian ~ Co-Host BBC2 INSIDE VERSAILLES ~ Chief Nerd to BBC HORRIBLE HISTORIES ~ My book is A MILLION YEARS IN A DAY ~ Love film, comedy, politics, Spurs",greg_jenner,(((Greg Jenner))),"Surrey, UK ",Wed Jun 01 15:37:04 +0000 2011,214,http://pbs.twimg.com/profile_images/741728198027816960/5mHa9QrG_normal.jpg,"The wheels are falling off the #Brexit bus, probably because it was manufactured to low standards that didn't meet EU safety regulations ðŸ˜‰","['TheEconomist', 'iankatz1000', 'MazzucatoM', 'SkyNews', 'jk_rowling', 'ProfDaveAndress', 'greg_jenner', 'bengoldacre', 'DGDimitrakop', 'SamCaws']"
250,R,Head of Communications and Media and Chief Campaign Spokesman for Britain Stronger in Europe. Views on Arsenal not necessarily shared by all on the campaign.,JamesMcGrory,James McGrory,London,Mon Nov 16 16:17:45 +0000 2009,213,http://pbs.twimg.com/profile_images/744563310457143297/Z0IoOCAa_normal.jpg,Former heads of MI5 and MI6 say we are safer in the EU  #StrongerIn #BBCDebate,"['victoriabeckham', 'wdjstraw', 'StrongerInPress', 'FrancesOGrady', 'suttonnick', 'AdamPritchard82']"
