,affiliation,friends_count,favourites_count,description,screen_name,geo_enabled,lang,verified,time_zone,statuses_count,followers_count,following,name,location,created_at,retweeted_count,profile_image_url,text,allies,new_text,new_retweet_count,new_created_at
10,R,482,0,"Britain is stronger, safer and better off in Europe. Don't sit on the sidelines - be part of the campaign to secure Britain's future in Europe.",StrongerIn,False,en,True,London,6004,44656,,Stronger In,,Tue Jun 23 17:40:00 +0000 2015,3474.0,http://pbs.twimg.com/profile_images/644743141669634048/jEIPEaqs_normal.png,Frances O'Grady represents over 6 million workers - &amp, she was clear tonight that workers are #StrongerIN #BBCDebate https://t.co/q1kn1j7l1k,"For the official feed of the successor campaign to Britain Stronger in Europe, please follow @Open_Britain:… https://t.co/eJ3plUqMjo",1,Mon Dec 05 14:58:14 +0000 2016
11,L,608,1404,UK No1 & US Top 5 Bestseller For politics http://blog.dorries.org For friends & readers go to politics free zone https://www.facebook.com/NadineDorriesAuthor,NadineDorriesMP,True,en,True,Hawaii,18087,29283,,Nadine Dorries,Tweets and RT posted by staff ,Sat Jan 07 00:11:00 +0000 2012,3326.0,http://pbs.twimg.com/profile_images/742096058898087936/0Avncrpi_normal.jpg,Boris #VoteLeave audience going crazy! Take back control and make Thursday our Independence Day #BBCDebate,"['vote_leave', 'LPerrins', 'montie', 'SteveBakerHW', 'AmandeepBhogal', 'MitchellGoldie', 'suttonnick', 'Vote_LeaveMedia']",deleted,deleted,deleted
12,R,15012,124,"Twitter feed of the UK Labour Party, keeping you up-to-date with news, speeches, events & videos.",UKLabour,False,en,True,London,18137,324286,,The Labour Party,,Thu Apr 03 08:57:48 +0000 2008,3195.0,http://pbs.twimg.com/profile_images/683632825434771456/n4NaU8Ku_normal.png,"To tackle climate change &amp; protect our plant, we must work together. That's why Louisa is voting Remain #VoteRemain https://t.co/FRRgTgpWiw",['FrancesOGrady'],"Together, on Thursday 3 May, we can elect Labour councillors up and down the country working for the many, not the… https://t.co/3fOdutMi1x",233,Sun Apr 08 19:02:00 +0000 2018
13,R,1120,3354,News and updates from Britain Stronger In Europe's press team. Main account @StrongerIn,StrongerInPress,True,en,False,London,15040,10251,,Stronger In Press,United Kingdom,Mon Sep 07 08:11:46 +0000 2015,3137.0,http://pbs.twimg.com/profile_images/653582548858048512/r5fE9Jwm_normal.png,"'economic shock', 'bumps in the road', jobs 'might be lost' - Leave in their own words about what happens if we leave #strongerin #bbcdebate","['GregHands', 'wdjstraw', 'LauraRound', 'GibStrongerIN', 'The_TUC', 'CarolineLucas', 'victoriabeckham', 'birminghammail', 'EmWatson', 'ChukaUmunna', 'George_Osborne', 'MirrorPolitics', 'BBCNews', 'CBItweets', 'SonyaCisco', 'StrongerIn', 'VirendraSharma', 'JamesKerLindsay', 'paulajradcliffe', 'richardbranson', 'DouglasBooth', 'MaryCreaghMP', 'JennyRathbone', 'PA', 'EmmaReynoldsMP', 'RhonddaBryant', 'BethRigby', 'SkyNews', 'lucycthomas', 'Jack_Blanchard_', 'ConservativesIN', 'YandHStrongerIn', 'FrancesOGrady', 'SWStrongerIn', 'David_Cameron', 'ben4ipswich', 'theresecoffey', 'TUCGlobal', 'nickherbertmp', 'lynbrownmp', 'JoelTaylorhack', 'CHazelgrove', 'gordonmacmillan', 'DamianCollins', 'Brigid_Fowler', 'IanJRees', 'asentance', 'amyhsrichards', 'Jude_KD', 'suttonnick']",deleted,deleted,deleted
14,N,153,124,"News and analysis with a global perspective.

Subscribe here: http://econ.st/1Ph3o0t 

Podcasts: http://econ.st/1VMD71O

Videos: http://econ.st/1q3E5c0",TheEconomist,False,en,True,Eastern Time (US & Canada),74449,14533823,,The Economist,London,Sat May 12 13:04:50 +0000 2007,2755.0,http://pbs.twimg.com/profile_images/461499742950678528/2JnpHjUo_normal.png,Leave or Remain? Check out our interactive #Brexit poll tracker https://t.co/CnnpP5M9lh https://t.co/dqw0S2oLfI,"['EconomistRadio', 'MotionNino']","Whether or not there is an election, Libyans just want the conflict to end https://t.co/42vLAnortV",17,Mon Apr 09 00:45:02 +0000 2018
15,L,940,11454,Political commentary on a wide range of issues. Right of liberal.  Pro British. Editor of A Tangled Web & Biased BBC.,DVATW,False,en,False,London,103432,23111,,David Vance,UK,Mon Feb 02 09:36:06 +0000 2009,2536.0,http://pbs.twimg.com/profile_images/664441739189608448/Zs38trIb_normal.jpg,"But but --- ALL economists think we should stay, Mr Cameron told us https://t.co/ZLQhGqRVB9","['TheScepticIsle', 'vote_leave', 'Dwalingen', 'BritishDemocrat', 'SuzanneEvans1', 'DavidJo52951945', 'HymieDoucheman', 'LouiseMensch']",Nurse? 👇🏻 https://t.co/ydaRFiuqSP,4,Sun Apr 08 22:10:46 +0000 2018
16,L,249,4537,Contrarian polemicist. http://youtube.com/PrisonPlanetLive https://www.facebook.com/paul.j.watson.71,PrisonPlanet,False,en,False,Central Time (US & Canada),21835,167280,,Paul Joseph Watson,London,Mon Jan 05 20:04:23 +0000 2009,2467.0,http://pbs.twimg.com/profile_images/378800000273854586/6ded2a3b4fe2e4746801b9380c51de20_normal.jpeg,Cameron breaks the law by using government property for #VoteRemain campaigning. https://t.co/7nCOJaIgC9 #Brexit,"['deYook', 'Skippeachicky', 'LeaveEUOfficial', 'anti_fembot']",RT @JackPosobiec: Two separate people have confirmed the President did not write the tweets this morning on Assad and Syria,1016,Sun Apr 08 23:43:21 +0000 2018
17,L,5001,14276,About the #transgressions in today's society. Because we need a change. Bekommeringen over misstanden en #dwalingen in de samenleving. Omdat het anders moet.,Dwalingen,False,en,False,Pacific Time (US & Canada),31125,4469,,Mis Standen,,Fri Oct 19 14:12:05 +0000 2012,2416.0,http://pbs.twimg.com/profile_images/2775095798/8c1ca1aa99adafb604267bf3dcb65acd_normal.jpeg,#Calais Migrants attacking French police &amp, #UK CARS Why are @BBC @ITV @NOS @RTLNL NOT reporting? #EUrefÂ #BREXIT https://t.co/zp7QpFY3A7,"RT @Juliet777777: 🇫🇷Fear attacks by Muslims #Catholic church #Lyon got rid statues monks beheaded by Muslims #SaintLouis church, honoured m…",30,Sat Apr 07 08:20:42 +0000 2018
18,L,6651,10546,"Just a simple little website trying to make sense of it all. A cross party twitter account for StoptheEU .com

#Brexit #StoptheEU",Stop_The_EU,True,en,False,Lisbon,15849,12441,,Stop the EU,Nationwide,Sun Aug 24 14:15:54 +0000 2014,2203.0,http://pbs.twimg.com/profile_images/707649838352097280/3wUv5KdS_normal.jpg,"Approximately 5% of UK companies actually export to the EU.

#Brexit VoteLeave https://t.co/9niRR2qlmz","['vote_leave', 'LeaveEUOfficial', 'manof_kent', 'femiokes', 'ThreeShedsEssex', 'WritingSupplier', 'navyfire111261', 'carefree_tug', 'ScotsVoteLeave']",RT @JackBMontgomery: WHITES NEED NOT APPLY: Brits of English Heritage Banned from Paid Training Posts… at English Heritage 🤦🏻‍♂️ https://t.…,614,Sun Apr 08 18:14:42 +0000 2018
19,L,12756,39879,#UKIP ~ @GrassrootsOut ~ @LeaveEUOfficial ~ #GO ~ #LeaveEU ~ #Brexit ~ #TeamNigel #EFDD ⚽️ Wigan Athletic ~ #wafc ~ #Twitter92 ⚽️,Fight4UK,False,en,False,,178323,13927,,Carl #LeaveEU,GREAT BRITAIN ,Sun Jul 03 13:21:51 +0000 2011,2033.0,http://pbs.twimg.com/profile_images/744985743563493376/X_5yME_2_normal.jpg,"#Brexit #GO #LeaveEU #VoteLeave 

@LeaveEUOfficial @vote_leave @BetterOffOut 

Setting up.  ðŸ‘� https://t.co/4X3tcWGJPi","['davidroachcouk', 'LeaveEUOfficial', 'boden_will', 'VictoriaLIVE', 'KayBurley', 'BBCr4today', 'consforbritain', 'vote_leave', 'dobbs_michael', 'BBCBreakfast', 'DJack_Journo', 'theordinaryman2', 'Dwalingen', 'Charles_Laing', 'Stop_The_EU', 'tfa4freedom', 'BetterOffOut', 'andrew_allison', 'cllrjoeporter', 'SpectatorEvents', 'reactionlife', 'itvnews', '50106019HIST', 'labourleave', 'CanvinWJL', 'oldBennite', 'terrylawes', 'HeatherWheeler', 'EP_President', 'LBC', 'LPerrins', 'DVATW', 'KTHopkins', 'Manville54', '100pcLondoner', 'SocEconMag', 'PaulBrothwood', 'MargotLJParker', 'paulnuttallukip', 'UKIP', 'PMLEGEND', 'WilliamsKevin', 'TheHappyKipper', 'ohboywhatashot', 'carlacathro', 'lostleonardo', 'UKIPBroxtowe', 'Arron_banks', 'Hughie1953', 'SmithsonStiffy', 'thierrybaudet', 'Graeme__McGuire', 'deejayhome', 'SamanthaLouize7', 'DavidJo52951945', 'ScienceBritain', 'JamesJimCarver', 'andrealeadsom', 'montie', 'BillDudleyNorth', 'ScotsVoteLeave', 'DavM', 'SpencerHills2', 'sja123', 'DianeJamesMEP', 'seismicshed', 'heatstreet', 'BrexitNoww', 'SirBentlyBlower', 'LouiseMensch', '2tweetaboutit', 'RaheemKassam', 'pablothehat', 'TheaDickinson', 'tomchapman16', 'avemariarebecca', 'NadineDorriesMP', 'JLongworthVL', 'geraldhowarth', 'MartinDaubney', 'oflynnmep', 'rorybroomfield', 'SteveBakerHW', 'LiamFoxMP', 'WomenforBritain', 'Telegraph', 'SJ_Powell', 'MitchellGoldie', 'h8kes', 'sarahjanesewell', 'PeterWilliamMos', 'JorgenFaxholm']",deleted,deleted,deleted
20,R,1688,0,"Labour MP for #Streatham, @IntegrationAPPG Chair, @CommonsHomeAffs member, @CPFC supporter, #Gogglebox fan, & former DJ.",ChukaUmunna,True,en,True,London,20154,149222,,Chuka Umunna,Streatham,Sun Apr 19 20:14:28 +0000 2009,2021.0,http://pbs.twimg.com/profile_images/742439783381794817/7RD6S6oV_normal.jpg,Having common employment laws across 28 member states stops UK workers rights be played off against others #BBCDebate #StrongerIn,"['vicderbyshire', 'VictoriaLIVE', 'The_TUC', 'IntegrationAPPG', 'UKLabour', 'frannygranny', 'prelovedbtn', 'michellegayle1', 'StrongerInPress', 'JonAshworth']","Will the international community simply stand by whilst Assad continues with this barbarity, propped up and supported by Russia?",70,Sun Apr 08 20:53:22 +0000 2018
21,R,14290,1017,Help us change politics and build a society that works for the common good http://join.greenparty.org.uk. Follow Green Party Leader @natalieben,TheGreenParty,True,en,True,London,22740,169923,,Green Party,England and Wales,Tue Jul 22 12:14:21 +0000 2008,1666.0,http://pbs.twimg.com/profile_images/730337854224621569/GGjYg-UW_normal.jpg,In 1 minute @CarolineLucas sums up why we're #GreenerIN working together on the shared challenges we face #BBCDebate https://t.co/xDd6udJoQ4,"['CarolineLucas', 'Another_Europe', 'natalieben', 'TPashby', 'GreensForEurope', 'GreenJeanMEP', 'Amelia_Womack', 'josielevay', 'LivveyKirtley', 'LudoOrlando', 'pheebsgeebs']","RT @natalieben: Congratulations! As @jon_bartley said yesterday, every council needs at least one @TheGreenParty councillor! #VoteGreen2018…",60,Fri Apr 06 11:11:30 +0000 2018
22,L,64,71,Columnist @MailOnline. LBC presenter Sunday mornings 10-12. Fired Lord Sugar. Gained & lost 3.5 stones proving fat people are lazy. katie@katiehopkins.co.uk,KTHopkins,False,en,True,Hawaii,46636,644050,,Katie Hopkins,,Fri Feb 20 22:01:54 +0000 2009,1645.0,http://pbs.twimg.com/profile_images/625791869956562944/S29hbzb1_normal.jpg,Jo Cox saved kids from Syria. 8 miles away these Muslim men raped our own. #Leave https://t.co/Dc2GZ2vKhH,[],Please be upstanding for the Defender of the Christian culture in Europe - #Orban https://t.co/JFEYox4lD7,474,Sun Apr 08 22:23:03 +0000 2018
23,L,0,1,Queen of everywhere you'd want to visit. One's new book 'Still Reigning' is out now: http://amzn.to/1A08A2P (FICTIONAL/SATIRE),Queen_UK,False,en,False,Casablanca,9390,1341189,,Elizabeth Windsor,,Tue May 04 16:49:30 +0000 2010,1634.0,http://pbs.twimg.com/profile_images/650063543350505472/i6Hy22im_normal.jpg,Might abolish Europe and Westminster and every singe bloody politician on the planet. #BBCDebate #EUref,[],"Text from Theresa May: ""Dealing with a load of shit. Standard 😂"" https://t.co/0iIvOAvexs",324,Thu Mar 29 19:48:22 +0000 2018
24,L,947,6649,MP dude for #Lichfield. #VoteLeave https://www.youtube.com/watch?v=j0pwXLtvt2w&index=38&list=PLRXacD0bo1ZYVOXHEWgFlZmcvsEaqLLru,Mike_Fabricant,True,en,True,London,38881,22737,,Michael Fabricant,"Lichfield in Staffordshire, UK",Fri Jan 16 07:39:47 +0000 2009,1573.0,http://pbs.twimg.com/profile_images/744495101108424704/lknTMVzk_normal.jpg,"In the last few weeks it has become #EU and UK policy to accelerate Turkish membership https://t.co/YdLndHxgFl 
#VoteLeave #bbcdebate","['JoeMiles94', 'vote_leave', 'BBCr4today', 'labourleave', 'AmandeepBhogal', 'GrahamLKeegan', 'TheSun']","RT @WaiLeeHo: Next year, I'm hoping to stand as a Conservative candidate at district. I'm trying to establish a strong base now &amp; would app…",11,Sun Apr 08 16:51:13 +0000 2018
25,L,990,4050,"Editor in chief, @BreitbartLondon",RaheemKassam,True,en,False,London,42272,22240,,Raheem Kassam,"London, United Kingdom",Sun Mar 21 19:58:27 +0000 2010,1534.0,http://pbs.twimg.com/profile_images/740935037634416640/eWDHctjb_normal.jpg,Sadiq Khan LITERALLY has flies flying around him. #euref #BBCDebate,"['KTHopkins', 'gupta_james', 'MagnaCartaRules']",@owenhalliday123 DC,0,Sun Apr 08 23:20:26 +0000 2018
26,L,6707,6734,#No2EU ~ #Brexit ~ #BelieveInBritain ~ #BetterOffOut ~ #labour #conservative @vote_leave #ukip #leaveEUofficial https://www.youtube.com/watch?v=UTMxfAkxfQ0,Leavethe_EU,True,en,False,London,7435,6518,,Tim #LeaveEU,"Sheffield, England",Wed Aug 27 08:23:02 +0000 2014,1529.0,http://pbs.twimg.com/profile_images/706085700844654592/_58LbbW0_normal.jpg,RedHotSquirrel: Why should Cornwall vote to leave the EU? https://t.co/g7pXHzKmEO #brexit,"['answerability', 'costajoe40', 'HillJo39', 'PrisonPlanet', 'DisparatePost', 'EuroGuido', 'roygsymonds', 'davidburrowesmp', 'WeirdLittleHen', 'SovBrit', 'nickdebois', 'JulesSunbeam', 'BrexitNoww', 'vote_leave']",How to Quit Smoking Easily? #Health #Lifestyle #Technology https://t.co/O8X1bGxzyT,3,Sat Dec 31 18:38:41 +0000 2016
27,L,2566,2016,"Final Year Medical Student, EdTech Entrepreneur & Massive Racist, apparently.",gupta_james,True,en,False,,4271,1821,,James Gupta,"Leeds, England",Tue May 22 23:10:59 +0000 2012,1453.0,http://pbs.twimg.com/profile_images/686251086177550336/h1tWGyDn_normal.jpg,"‘Leave’ Voters Aren’t Racist: You’re Just an Asshole #VoteLeave 

https://t.co/qUnAGz4oUY",['BBCr4today'],RT @TechCrunch: Robo Wunderkind wants to build the Lego Mindstorms for everyone https://t.co/8TwqSm5oZM https://t.co/6rFksnTDU7,23,Sun Apr 08 21:46:47 +0000 2018
28,R,20189,19149,"Sponsorship & PR Consultant | Sport, Music and Politics | Exiled Scot | Opinionated | Ambidextrous Lefty | Remain in the EU",JamesMelville,False,en,False,Casablanca,5269,28409,,James Melville,Cornwall,Thu Feb 12 13:13:40 +0000 2009,1409.0,http://pbs.twimg.com/profile_images/744953562409615360/A75eotaO_normal.jpg,"Vote to stay with Johnny Foreigner.
#EUref #VoteRemain",[],RT @JamesMelville: A good friend of mine has developed an amazing solution to the housing crisis and has produced one of the best twitter f…,418,Sun Apr 08 17:13:26 +0000 2018
